"siteId","reportStartDateTime","reportEndDateTime","collectionName","isPublic","isLatestVersion","observationType","softwareType","windDirection","relativeHumidity","windSpeed_MilePerHour","windSpeed_MetrePerSecond","dryBulbTemperature_Fahrenheit","dryBulbTemperature_Celsius","wetBulbTemperature_Fahrenheit","wetBulbTemperature_Celsius","rainfallAmount_Inch","rainfallAmount_Millimetre","rainfallRate_InchPerHour","rainfallRate_MillimetrePerHour","airPressure_InchOfMercury","airPressure_Hectopascal","dewPointTemperature_Fahrenheit","dewPointTemperature_Celsius","isOfficial","isDcnn","longitude","latitude","height","id","localReportEndDateTime","externalSiteId","createdDateTime","version","externalId"
"f2d42aea-f516-ec11-b76a-0003ff599499","2024-10-02T16:15:00+00:00","2024-10-02T16:15:00+00:00","1","true","true","1","WeatherLink","322","70.4","3.06","1.3679401325024363","60.7","15.944444444444446","54.4","12.444444444444443","0","0","0","0","29.962","1014.6298721799999","51","10.555555555555555","false","false","-8.8545","53.5244","45","20241002oarq1xwy5re69kyhyyguw31uhh","2024-10-02T16:15:00+00:00","1000013318","2024-10-02T16:15:28.5671119+00:00","1","12577570561"
"f2d42aea-f516-ec11-b76a-0003ff599499","2024-10-02T16:45:00+00:00","2024-10-02T16:45:00+00:00","1","true","true","1","WeatherLink","327","72.4","2.81","1.2561803177555053","60.4","15.777777777777777","54.7","12.611111111111112","0","0","0","0","29.961","1014.5960082899999","51.5","10.833333333333334","false","false","-8.8545","53.5244","45","20241002zafpyewy5we69kyhyytrtenn4a","2024-10-02T16:45:00+00:00","1000013318","2024-10-02T16:45:40.4251616+00:00","1","12577595550"
"f2d42aea-f516-ec11-b76a-0003ff599499","2024-10-02T17:00:00+00:00","2024-10-02T17:00:00+00:00","1","true","true","1","WeatherLink","27","73.4","2.56","1.1444205030085741","59.2","15.111111111111112","53.8","12.111111111111109","0","0","0","0","29.964","1014.6975999599999","50.7","10.388888888888891","false","false","-8.8545","53.5244","45","202410027k7rmycy5he69kyhyytrtenn4a","2024-10-02T17:00:00+00:00","1000013318","2024-10-02T17:01:12.3376405+00:00","1","12577608947"
"f2d42aea-f516-ec11-b76a-0003ff599499","2024-10-02T17:15:00+00:00","2024-10-02T17:15:00+00:00","1","true","true","1","WeatherLink","38","74.9","0.93","0.4157465108585836","57.7","14.277777777777779","52.8","11.555555555555554","0","0","0","0","29.969","1014.8669194099999","49.8","9.888888888888888","false","false","-8.8545","53.5244","45","20241002h49q6thyhre69kyhyytrtenn4a","2024-10-02T17:15:00+00:00","1000013318","2024-10-02T17:15:22.2638326+00:00","1","12577622149"
"f2d42aea-f516-ec11-b76a-0003ff599499","2024-10-02T17:30:00+00:00","2024-10-02T17:30:00+00:00","1","true","true","1","WeatherLink","0","77","0","0","56.6","13.666666666666668","52.2","11.222222222222223","0","0","0","0","29.975","1015.0701027499999","49.5","9.722222222222221","false","false","-8.8545","53.5244","45","20241002977ft1hyhce69kyhyytrtenn4a","2024-10-02T17:30:00+00:00","1000013318","2024-10-02T17:30:29.3915476+00:00","1","12577636922"
"f2d42aea-f516-ec11-b76a-0003ff599499","2024-10-02T17:45:00+00:00","2024-10-02T17:45:00+00:00","1","true","true","1","WeatherLink","79","78.8","0.62","0.27716434057238903","55.8","13.22222222222222","51.8","10.999999999999998","0","0","0","0","29.976","1015.10396664","49.3","9.611111111111109","false","false","-8.8545","53.5244","45","20241002nx9d8fcyhae69kyhyyguw31uhh","2024-10-02T17:45:00+00:00","1000013318","2024-10-02T17:45:23.1161622+00:00","1","12577651260"
"f2d42aea-f516-ec11-b76a-0003ff599499","2024-10-02T18:00:00+00:00","2024-10-02T18:00:00+00:00","1","true","true","1","WeatherLink","359","78.9","1.5","0.6705588884815864","55.4","12.999999999999998","51.5","10.833333333333334","0","0","0","0","29.977","1015.13783053","49","9.444444444444445","false","false","-8.8545","53.5244","45","20241002gqqj19wy7ye69kyhyytrtenn4a","2024-10-02T18:00:00+00:00","1000013318","2024-10-02T18:00:33.8132084+00:00","1","12577665884"
"f2d42aea-f516-ec11-b76a-0003ff599499","2024-10-02T18:15:00+00:00","2024-10-02T18:15:00+00:00","1","true","true","1","WeatherLink","124","79.5","0.37","0.16540452582545798","54.5","12.5","50.8","10.444444444444443","0","0","0","0","29.983","1015.34101387","48.3","9.055555555555554","false","false","-8.8545","53.5244","45","20241002e711tohy7ee69kyhyyguw31uhh","2024-10-02T18:15:00+00:00","1000013318","2024-10-02T18:15:20.9039425+00:00","1","12577680602"
"f2d42aea-f516-ec11-b76a-0003ff599499","2024-10-02T18:30:00+00:00","2024-10-02T18:30:00+00:00","1","true","true","1","WeatherLink","333","80.9","1","0.4470392589877243","53.5","11.944444444444445","50.1","10.055555555555555","0","0","0","0","29.99","1015.5780610999999","47.8","8.777777777777777","false","false","-8.8545","53.5244","45","20241002pos6xphy7oe69kyhyytrtenn4a","2024-10-02T18:30:00+00:00","1000013318","2024-10-02T18:30:41.1422333+00:00","1","12577695619"
"f2d42aea-f516-ec11-b76a-0003ff599499","2024-10-02T18:45:00+00:00","2024-10-02T18:45:00+00:00","1","true","true","1","WeatherLink","285","82.7","1.12","0.5006839700662512","52.7","11.500000000000002","49.7","9.833333333333334","0","0","0","0","29.992","1015.6457888799999","47.6","8.666666666666668","false","false","-8.8545","53.5244","45","20241002xgc7eowy7ae69kyhyytrtenn4a","2024-10-02T18:45:00+00:00","1000013318","2024-10-02T18:45:23.5752557+00:00","1","12577709701"
